name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation
Aachen,1,Valid,L5,21,Fell,1880-01-01T00:00:00.000,50.775,6.08333,Point
Aachen,1,Valid,L5,21,Fell,1880-01-01T00:00:00.000,50.775,6.08333,"[6.08333, 50.775]"
Abee,6,Valid,EH4,107000,Fell,1952-01-01T00:00:00.000,54.21667,-113.0,Point
Abee,6,Valid,EH4,107000,Fell,1952-01-01T00:00:00.000,54.21667,-113.0,"[-113, 54.21667]"
Aarhus,2,Valid,H6,720,Fell,1951-01-01T00:00:00.000,56.18333,10.23333,Point
Aarhus,2,Valid,H6,720,Fell,1951-01-01T00:00:00.000,56.18333,10.23333,"[10.23333, 56.18333]"
Acapulco,10,Valid,Acapulcoite,1914,Fell,1976-01-01T00:00:00.000,16.88333,-99.9,Point
Acapulco,10,Valid,Acapulcoite,1914,Fell,1976-01-01T00:00:00.000,16.88333,-99.9,"[-99.9, 16.88333]"
